"Name","Runtime","Notes","Tags","accumulation_steps","batch_size","epochs","learning_rate","margin","max_samples","projection_dim","avg_train_loss","batch","batch_loss","epoch","final_avg_relevant_per_query","final_ndcg_1","final_ndcg_10","final_ndcg_10_std","final_ndcg_5","final_total_relevant_docs","gpu_memory_allocated","gpu_memory_reserved","total_parameters","val_ndcg_10"
"flowing-sweep-10","668","-","","2","1024","15","0.0001","0.5","100000","512","0.018417573942593773","91","0.01881527528166771","15","1.665","0.28","0.5042368594717381","0.30089197514086674","0.41166382689656833","333","0.216883712","11.804868608","46345984","1"
"scarlet-sweep-19","842","-","","2","2048","18","0.0001","0.5","100000","512","0.021865231726242572","41","0.020893316715955738","18","1.545","0.21","0.4666972999963779","0.2892839154212277","0.377910501508784","309","0.221078016","26.713522176","46345984","0.9950309884273996"
"iconic-sweep-7","849","-","","4","2048","9","0.001","0.3","200000","128","0.00522554692650708","91","0.004284676630049944","9","1.625","0.215","0.4666834593382748","0.28851556492273883","0.3773587716106826","325","0.20270336","29.246881792","45558016","0.9899430737021522"
"clean-sweep-16","1493","-","","2","2048","15","0.0001","0.5","200000","512","0.018797134410361856","91","0.01877106912434101","15","1.53","0.165","0.4585319460122704","0.2688915578298481","0.36056763419357696","306","0.22035712","15.296626688","46345984","0.9818363163903892"
"sandy-sweep-17","1494","-","","2","512","18","0.0001","0.7","200000","512","0.0503723473119004","391","0.050338905304670334","18","1.575","0.19","0.45505649273330234","0.2754432186733335","0.3782893659728334","315","0.214721024","9.879683072","46345984","0.9990924162122764"
"silvery-sweep-15","1449","-","","2","2048","15","0.0001","0.7","200000","512","0.06441293626415487","91","0.06503261625766754","15","1.5","0.195","0.45065065112707864","0.2964935455637514","0.3648932740269696","300","0.221078016","13.881049088","46345984","0.9967468329167324"
"sandy-sweep-18","1285","-","","2","1024","15","0.0001","0.7","200000","512","0.057345371788405645","191","0.059488773345947266","15","1.54","0.17","0.4439363397750492","0.28931946037155687","0.351551571718757","308","0.216883712","16.175333376","46345984","0.9985464321619828"
"clear-sweep-11","1172","-","","4","256","15","0.001","0.3","200000","512","0.002041104626889481","781","0.0002944630105048418","15","1.605","0.155","0.44167865619815944","0.266126894702986","0.333345344710589","321","0.214524416","3.395289088","46345984","0.9871593256321336"
"resilient-sweep-20","798","-","","2","1024","18","0.0001","0.7","100000","512","0.0609806667709229","91","0.05784236267209053","18","1.58","0.19","0.44163215564479136","0.2921693252455386","0.35791424367334174","316","0.216883712","14.275313664","46345984","0.9972445614508134"
"vital-sweep-5","574","-","","2","256","15","0.001","0.7","100000","128","0.049434043419406846","391","0.03996105492115021","15","1.59","0.165","0.4208466127549189","0.29463938916845417","0.3513843120682803","318","0.201253376","2.908749824","45558016","0.9777273378741936"
"floral-sweep-4","693","-","","4","256","9","0.0001","0.7","200000","256","0.0662126834254207","781","0.05554066225886345","9","1.61","0.165","0.4206502379377656","0.28579603036700585","0.3375791434281632","322","0.204677632","4.009754624","45755136","0.9899670223609024"
"electric-sweep-12","1555","-","","4","1024","18","0.01","0.5","200000","256","0.013037372299717092","191","0.012134001590311527","18","1.565","0.17","0.4164104557218792","0.27784481651111603","0.3163938653632231","313","0.20585728","15.273558016","45755136","0.9702756662536788"
"stellar-sweep-13","772","-","","2","1024","9","0.001","0.7","200000","128","0.05786178069075151","191","0.05397848039865494","9","1.605","0.165","0.4158023190770817","0.2693969371545612","0.3174626467355921","321","0.201916928","16.726884352","45558016","0.9975180032722928"
"visionary-sweep-1","658","-","","4","1024","15","0.0001","0.7","100000","512","0.07880776611213781","91","0.07228456437587738","15","1.555","0.195","0.4125838507072429","0.306276463814817","0.32097597052524335","311","0.216621568","14.4703488","46345984","0.9759660169194818"
"dazzling-sweep-2","733","-","","4","512","18","0.001","0.7","100000","128","0.052462299145302","191","0.05070602521300316","18","1.635","0.165","0.40535277511691575","0.2933928780462398","0.3301289037808281","327","0.201523712","5.884608512","45558016","0.994437834608734"
"swift-sweep-6","1131","-","","4","256","15","0.01","0.3","200000","256","0.0034520837717720537","781","0.002906779292970896","15","1.505","0.17","0.4006773881172586","0.2903183536140485","0.31440595514664466","301","0.204677632","3.930062848","45755136","0.9673749710983984"
"dauntless-sweep-8","1052","-","","4","1024","12","0.0001","0.7","200000","256","0.07791970691130477","191","0.06878837943077087","12","1.625","0.21","0.3954307722079499","0.3075290681023069","0.3197659821120264","325","0.20585728","14.478737408","45755136","0.9974694284242656"
"balmy-sweep-3","644","-","","4","1024","15","0.0001","0.7","100000","128","0.10781434611702452","91","0.10366669297218324","15","1.565","0.135","0.30410508992073587","0.2903146244457678","0.2312016492421873","313","0.201916928","9.854517248","45558016","0.9089218325857116"
"fanciful-sweep-9","433","-","","2","2048","9","0.0001","0.3","100000","128","0.021719363118921007","41","0.02038029581308365","9","1.57","0.12","0.27790368190834014","0.289577855967874","0.23323101929428183","314","0.20270336","23.261609984","45558016","0.8937280432170042"
"hopeful-sweep-14","543","-","","4","1024","12","0.0001","0.7","100000","128","0.12870064202924164","91","0.12552107870578766","12","1.55","0.135","0.25339269195108716","0.2992598981359169","0.21087548671143305","310","0.201916928","17.362321408","45558016","0.935424772517234"